url_entropy,domain_extension
-3.836591668108979,1.0
-3.7254805569978684,1.0
-3.7254805569978684,1.0
-3.577819531114783,1.0
-3.4193819456463714,11.0
-3.5132696895151083,11.0
-3.5932696895151084,11.0
-3.5132696895151083,11.0
-3.4332696895151087,11.0
-3.5132696895151083,11.0
-3.5932696895151084,11.0
-3.8841550945958043,42.0
-3.3834651896016474,11.0
-3.3834651896016474,11.0
-3.1746939516467023,11.0
-3.5932696895151084,11.0
-3.3834651896016474,11.0
-3.5132696895151083,11.0
-3.3034651896016474,11.0
-3.463465189601647,11.0
-3.2406015629507228,11.0
-3.2406015629507228,11.0
-3.3553885422075336,11.0
-3.3553885422075336,11.0
-3.3553885422075336,11.0
-3.204986855772667,11.0
-3.204986855772667,11.0
-3.204986855772667,11.0
-3.2720552088742005,11.0
-3.40307418942857,11.0
-3.288884070537636,11.0
-3.5932696895151084,11.0
-3.448884070537636,11.0
-3.3834651896016474,11.0
-3.463465189601647,11.0
-3.5132696895151083,11.0
-3.368884070537636,11.0
-3.5132696895151083,11.0
-3.5132696895151083,11.0
-3.4332696895151087,11.0
-3.5132696895151083,11.0
-3.5132696895151083,11.0
-3.4830741894285695,11.0
-3.5132696895151083,11.0
-3.5932696895151084,11.0
-3.368884070537636,11.0
-3.3834651896016474,11.0
-3.5932696895151084,11.0
-3.5932696895151084,11.0
-3.7946534735443422,13.0
-3.4613201402110088,13.0
-3.7946534735443422,13.0
-3.8841550945958043,13.0
-3.7946534735443422,13.0
-3.833269689515108,13.0
-3.7720552088742005,13.0
-4.160704752887783,9.0
-4.162573265150912,9.0
-4.2527152789797045,1.0
-4.722685196737856,1.0
-4.668549870744963,1.0
-4.744042071345331,1.0
-4.736219984380638,1.0
-4.620297825672426,1.0
-4.59588779547243,1.0
-4.5846208178282,1.0
-4.593657665390962,1.0
-5.553255398925875,1.0
-4.652309056858082,1.0
-4.690025234723277,1.0
-4.650020286052269,1.0
-4.672777721038981,1.0
-4.662469844102631,1.0
-5.690143467825159,1.0
-4.755972785674581,1.0
-4.672001204752647,6.0
-4.674149418935339,6.0
-4.365311532225102,1.0
-5.493404257196346,1.0
-5.601863413245018,1.0
-4.239515086514733,1.0
-4.362671112393439,6.0
-4.185230132909402,7.0
-4.137537511266052,7.0
-4.106377316818026,7.0
-4.0980685120588385,7.0
-4.056564762130955,7.0
-4.137537511266052,7.0
-3.9582291686698783,7.0
-4.164735178725505,7.0
-4.106377316818026,7.0
-4.185230132909402,7.0
-4.1162646156680225,7.0
-3.967720100474499,7.0
-4.159199529386524,7.0
-4.0472990984266435,7.0
-4.066108939837481,7.0
-4.185230132909402,7.0
-4.0043444463675275,7.0
-4.272804327334621,9.0
-4.398857447483312,9.0
-4.226709858847346,31.0
-4.254195650150781,7.0
-4.101881223476019,9.0
-4.131769501279566,1.0
-4.437210684632777,1.0
-4.002268084440845,31.0
-4.5756481953738835,1.0
-4.355539077670187,1.0
-3.9355861440029924,54.0
-3.660169450009578,54.0
-4.838566847267297,15.0
-4.077819531114783,15.0
-4.3686933125951875,6.0
-3.273349455962949,11.0
-4.44637013015618,1.0
-4.4955582663410985,55.0
-4.218870595993136,8.0
-4.231270254607575,8.0
-4.726148479944656,23.0
-3.2998963911678914,11.0
-4.165400719733289,10.0
-4.181624489699322,10.0
-4.11471801682134,5.0
-3.954966798740127,1.0
-3.9059244270435443,56.0
-4.758101856845239,22.0
-3.9928705166358993,1.0
-4.104823628541093,29.0
-4.691417367419541,57.0
-4.134183719779189,1.0
-4.561714444135898,23.0
-4.07347513230962,1.0
-3.872049488456949,1.0
-4.344764407955959,6.0
-4.162744587859908,9.0
-5.810616230859476,1.0
-4.291582945990554,17.0
-4.8586815455911685,17.0
-3.9302252658009045,11.0
-3.1746939516467023,11.0
-4.278351811711312,9.0
-4.466978600084035,1.0
-4.426162273553422,1.0
-3.53850987421411,17.0
-4.237291339955158,7.0
-4.237291339955158,7.0
-4.6434914957638505,58.0
-4.567482985168272,17.0
-3.967720100474499,17.0
-3.8757315032041886,11.0
-3.2720552088742005,11.0
-4.122937288633004,1.0
-4.18233683402497,1.0
-4.573438004368643,17.0
-3.840265565194928,59.0
-5.589316999906389,1.0
-4.278242691024847,1.0
-4.212755123925498,5.0
-4.433788517278396,1.0
-5.626695450409387,1.0
-4.057476076289932,9.0
-3.9302703722934536,1.0
-4.201692923824033,5.0
-4.175070520364182,5.0
-4.150410872541982,9.0
-4.2623735740188415,5.0
-4.366759974483215,1.0
-4.3697891346808015,17.0
-4.444974092849856,23.0
-3.9485056679028228,23.0
-5.591946255686828,1.0
-3.5464393446710156,60.0
-3.7623107361338706,60.0
-4.268719696310997,1.0
-5.615026827214302,1.0
-4.876757102138916,1.0
-4.054538856580818,1.0
-5.421271855984847,1.0
-3.978333581185264,57.0
-4.453049378752762,1.0
-4.701797270197447,17.0
-4.433788517278396,1.0
-3.7489948035250964,39.0
-3.7962176025900565,32.0
-5.670565827571479,1.0
-4.580023372597456,15.0
-4.110577243331642,7.0
-4.208410187268525,7.0
-4.348394345536403,7.0
-4.182005814760213,7.0
-3.7256507561120937,42.0
-3.7256507561120937,42.0
-4.311421641246036,5.0
-3.922573883611435,57.0
-3.8403902655573927,57.0
-4.327819531114783,15.0
-3.9131424806451927,1.0
-4.185230132909402,7.0
-4.615311532225102,3.0
-4.89787391241372,1.0
-4.378085278891394,5.0
-4.231058232227281,9.0
-4.213730673599363,1.0
-4.127986806877676,1.0
-4.217859107657963,1.0
-4.356558335416674,46.0
-4.060262039120377,46.0
-5.541356408545121,1.0
